account_id,tx_id,amount,recipient,rail,device,time,location
ACC-10001,TXN-A001,49500,BENEF-301,IMPS,DEV-UNMAPPED-12,03:12,Mumbai
ACC-10001,TXN-A002,48900,BENEF-301,UPI,DEV-UNMAPPED-12,03:15,Mumbai
ACC-10001,TXN-A003,49200,BENEF-301,NEFT,DEV-UNMAPPED-12,03:18,Mumbai
ACC-10001,TXN-A004,48700,BENEF-301,IMPS,DEV-UNMAPPED-12,03:22,Mumbai
ACC-20002,TXN-B001,3500,Ravi Sharma,UPI,DEV-88AACC01,10:30,Delhi
ACC-20002,TXN-B002,2800,Priya Patel,NEFT,DEV-88AACC01,14:15,Delhi
ACC-30003,TXN-C001,750000,Tehran Global Exports,SWIFT,DEV-CORP-05,09:00,Hyderabad
ACC-40004,TXN-D001,5000,Swiggy,UPI,DEV-MOB-77,12:30,Bengaluru
ACC-40004,TXN-D002,1200,Amazon,POS_MERCHANT,DEV-MOB-77,15:45,Bengaluru
ACC-40004,TXN-D003,3200,Flipkart,UPI,DEV-MOB-77,18:00,Bengaluru
